date,year,month,sector,emission
2005-01-01,2005,1,total,10.47431047157977
2005-02-01,2005,2,total,9.863699034004547
2005-03-01,2005,3,total,12.49517036804069
2005-04-01,2005,4,total,12.54733125844405
2005-05-01,2005,5,total,13.420679476436597
2005-06-01,2005,6,total,14.021809215576827
2005-07-01,2005,7,total,14.752544150071484
2005-08-01,2005,8,total,14.54866925480899
2005-09-01,2005,9,total,13.466880129568908
2005-10-01,2005,10,total,10.73375569267075
2005-11-01,2005,11,total,12.305836087050523
2005-12-01,2005,12,total,11.369314861746844
2006-01-01,2006,1,total,10.788932573691055
2006-02-01,2006,2,total,9.986157972677615
2006-03-01,2006,3,total,12.552091053603005
2006-04-01,2006,4,total,12.651715642795459
2006-05-01,2006,5,total,13.727900679205417
2006-06-01,2006,6,total,14.33387617346961
2006-07-01,2006,7,total,15.40240284861498
2006-08-01,2006,8,total,14.816948199219532
2006-09-01,2006,9,total,13.78566126458469
2006-10-01,2006,10,total,10.781270487439093
2006-11-01,2006,11,total,12.785326278037884
2006-12-01,2006,12,total,11.845952209070596
2007-01-01,2007,1,total,10.911340706083383
2007-02-01,2007,2,total,10.237021306812077
2007-03-01,2007,3,total,12.806395142426378
2007-04-01,2007,4,total,13.087441447097827
2007-05-01,2007,5,total,13.81397056259107
2007-06-01,2007,6,total,14.801583814023383
2007-07-01,2007,7,total,15.591861658612636
2007-08-01,2007,8,total,15.154551868137569
2007-09-01,2007,9,total,14.228542017925477
2007-10-01,2007,10,total,11.13096001599563
2007-11-01,2007,11,total,12.954882752640163
2007-12-01,2007,12,total,12.211221175775327
2008-01-01,2008,1,total,11.142594057549347
2008-02-01,2008,2,total,10.28495964683226
2008-03-01,2008,3,total,13.008535536801128
2008-04-01,2008,4,total,13.095397706588269
2008-05-01,2008,5,total,14.516531641254032
2008-06-01,2008,6,total,14.870522383832713
2008-07-01,2008,7,total,15.822335295727493
2008-08-01,2008,8,total,15.559772214232963
2008-09-01,2008,9,total,14.331670219370526
2008-10-01,2008,10,total,11.706949792582883
2008-11-01,2008,11,total,13.455609154395674
2008-12-01,2008,12,total,12.614753736607302
2009-01-01,2009,1,total,11.492577289645935
2009-02-01,2009,2,total,10.414639847973433
2009-03-01,2009,3,total,13.40149464755297
2009-04-01,2009,4,total,13.585592297790976
2009-05-01,2009,5,total,14.796593934587158
2009-06-01,2009,6,total,15.349163172149659
2009-07-01,2009,7,total,16.295847753203322
2009-08-01,2009,8,total,15.80648647093401
2009-09-01,2009,9,total,14.642675836154652
2009-10-01,2009,10,total,11.49977102000956
2009-11-01,2009,11,total,13.646999204705155
2009-12-01,2009,12,total,12.960731668913217
2010-01-01,2010,1,total,11.728641792219468
2010-02-01,2010,2,total,10.842642355651622
2010-03-01,2010,3,total,13.712189169645029
2010-04-01,2010,4,total,13.575597305382606
2010-05-01,2010,5,total,14.928516283024054
2010-06-01,2010,6,total,15.793104901058472
2010-07-01,2010,7,total,16.616544218525522
2010-08-01,2010,8,total,16.347914690025814
2010-09-01,2010,9,total,14.82002834790292
2010-10-01,2010,10,total,11.983111071702748
2010-11-01,2010,11,total,13.978581986891127
2010-12-01,2010,12,total,13.046284294061412
2011-01-01,2011,1,total,11.831403427640856
2011-02-01,2011,2,total,11.073490879216456
2011-03-01,2011,3,total,14.069288176608259
2011-04-01,2011,4,total,14.337482063400257
2011-05-01,2011,5,total,14.985192942770448
2011-06-01,2011,6,total,15.951692999664216
2011-07-01,2011,7,total,17.21898647292461
2011-08-01,2011,8,total,16.467920128009304
2011-09-01,2011,9,total,15.19166941315658
2011-10-01,2011,10,total,12.261401680176744
2011-11-01,2011,11,total,14.110327361748512
2011-12-01,2011,12,total,13.34694252059477
2012-01-01,2012,1,total,12.529419333945294
2012-02-01,2012,2,total,11.18514680986131
2012-03-01,2012,3,total,14.307787309202732
2012-04-01,2012,4,total,14.442827295439196
2012-05-01,2012,5,total,15.425175262465181
2012-06-01,2012,6,total,16.018860464634187
2012-07-01,2012,7,total,17.535890638522883
2012-08-01,2012,8,total,16.847135304126486
2012-09-01,2012,9,total,15.743391299778052
2012-10-01,2012,10,total,12.331959140872707
2012-11-01,2012,11,total,14.791628356592671
2012-12-01,2012,12,total,13.145615520088656
2013-01-01,2013,1,total,12.43973500363872
2013-02-01,2013,2,total,11.392917030604139
2013-03-01,2013,3,total,14.549148644580942
2013-04-01,2013,4,total,14.76758825032743
2013-05-01,2013,5,total,15.574934802886068
2013-06-01,2013,6,total,16.70894363876551
2013-07-01,2013,7,total,17.78726654607052
2013-08-01,2013,8,total,17.08401464380588
2013-09-01,2013,9,total,16.138076310442298
2013-10-01,2013,10,total,12.61687391654825
2013-11-01,2013,11,total,14.804215301570913
2013-12-01,2013,12,total,13.880884705254793
2014-01-01,2014,1,total,12.492756066428178
2014-02-01,2014,2,total,11.868814477519622
2014-03-01,2014,3,total,14.822277904668807
2014-04-01,2014,4,total,14.935631971918049
2014-05-01,2014,5,total,15.968852654872837
2014-06-01,2014,6,total,16.89502130718147
2014-07-01,2014,7,total,18.028348381772588
2014-08-01,2014,8,total,17.62458774181241
2014-09-01,2014,9,total,16.226800080197282
2014-10-01,2014,10,total,13.179824083092202
2014-11-01,2014,11,total,15.087369426512968
2014-12-01,2014,12,total,14.029181794145511
2015-01-01,2015,1,total,12.92683079628859
2015-02-01,2015,2,total,11.948579159988222
2015-03-01,2015,3,total,15.050580992670591
2015-04-01,2015,4,total,15.094652526847756
2015-05-01,2015,5,total,16.63391093876024
2015-06-01,2015,6,total,17.046389479308004
2015-07-01,2015,7,total,18.674777464387596
2015-08-01,2015,8,total,17.64174351193435
2015-09-01,2015,9,total,16.408459176783406
2015-10-01,2015,10,total,13.404336194406271
2015-11-01,2015,11,total,15.085796504858026
2015-12-01,2015,12,total,14.62788657172959
2016-01-01,2016,1,total,12.95479479065521
2016-02-01,2016,2,total,12.433247570710982
2016-03-01,2016,3,total,15.41888792947946
2016-04-01,2016,4,total,15.726766958717343
2016-05-01,2016,5,total,16.679295685468603
2016-06-01,2016,6,total,17.29210584409008
2016-07-01,2016,7,total,18.54942073809055
2016-08-01,2016,8,total,18.109903756468412
2016-09-01,2016,9,total,17.301008779148283
2016-10-01,2016,10,total,13.541605181375509
2016-11-01,2016,11,total,15.51095081695574
2016-12-01,2016,12,total,14.374740355577126
2017-01-01,2017,1,total,13.411867293444155
2017-02-01,2017,2,total,12.47573853162618
2017-03-01,2017,3,total,15.370337852879079
2017-04-01,2017,4,total,15.974515131991271
2017-05-01,2017,5,total,16.820119982050464
2017-06-01,2017,6,total,17.810591773252835
2017-07-01,2017,7,total,19.01512458289482
2017-08-01,2017,8,total,18.725409434115786
2017-09-01,2017,9,total,17.330569313770397
2017-10-01,2017,10,total,13.490559518153754
2017-11-01,2017,11,total,15.863539939879406
2017-12-01,2017,12,total,14.912404745638979
2018-01-01,2018,1,total,13.515061178795564
2018-02-01,2018,2,total,12.20969614277865
2018-03-01,2018,3,total,16.23248793789633
2018-04-01,2018,4,total,16.1901262042914
2018-05-01,2018,5,total,17.21435160688807
2018-06-01,2018,6,total,18.19928847129492
2018-07-01,2018,7,total,19.020414162562357
2018-08-01,2018,8,total,18.947587269650427
2018-09-01,2018,9,total,17.512075007591548
2018-10-01,2018,10,total,13.923740734133167
2018-11-01,2018,11,total,15.990978183723998
2018-12-01,2018,12,total,15.507568011709038
2019-01-01,2019,1,total,13.802868331038102
2019-02-01,2019,2,total,12.739743448634599
2019-03-01,2019,3,total,16.324460608088152
2019-04-01,2019,4,total,16.322846565232076
2019-05-01,2019,5,total,17.775296928470475
2019-06-01,2019,6,total,18.77702535131743
2019-07-01,2019,7,total,19.490118912479414
2019-08-01,2019,8,total,18.79356515207662
2019-09-01,2019,9,total,17.983354837526573
2019-10-01,2019,10,total,13.860448528529231
2019-11-01,2019,11,total,16.415199683261566
2019-12-01,2019,12,total,15.391262098079293
2020-01-01,2020,1,total,14.140602377359112
2020-02-01,2020,2,total,13.19457495594068
2020-03-01,2020,3,total,16.45395318504827
2020-04-01,2020,4,total,16.451149546326562
2020-05-01,2020,5,total,17.993847853174078
2020-06-01,2020,6,total,18.587893027001627
2020-07-01,2020,7,total,19.820909271022586
2020-08-01,2020,8,total,19.781581335694145
2020-09-01,2020,9,total,18.266464830763645
2020-10-01,2020,10,total,14.033706469740975
2020-11-01,2020,11,total,16.626226662478334
2020-12-01,2020,12,total,15.484436157083703
2021-01-01,2021,1,total,14.1439472183834
2021-02-01,2021,2,total,13.283630644781608
2021-03-01,2021,3,total,16.67399940635021
2021-04-01,2021,4,total,16.890404446968994
2021-05-01,2021,5,total,18.265741431091588
2021-06-01,2021,6,total,18.943753865579914
2021-07-01,2021,7,total,20.42394809281269
2021-08-01,2021,8,total,19.43197611098612
2021-09-01,2021,9,total,18.516457872794856
2021-10-01,2021,10,total,14.710928869453
2021-11-01,2021,11,total,16.626216259995434
2021-12-01,2021,12,total,16.026462982868708
2022-01-01,2022,1,total,14.49217880224699
2022-02-01,2022,2,total,13.392969199671533
2022-03-01,2022,3,total,17.01150024040058
2022-04-01,2022,4,total,17.304195464572672
2022-05-01,2022,5,total,18.816899910629246
2022-06-01,2022,6,total,19.406378148084883
2022-07-01,2022,7,total,20.089649591673638
2022-08-01,2022,8,total,19.963306428464133
2022-09-01,2022,9,total,18.903358215544866
2022-10-01,2022,10,total,14.482312234757378
2022-11-01,2022,11,total,17.13661493770459
2022-12-01,2022,12,total,15.980375633277875
2023-01-01,2023,1,total,14.54517588497816
2023-02-01,2023,2,total,13.743062888694473
2023-03-01,2023,3,total,17.720495661717635
2023-04-01,2023,4,total,17.390749867260528
2023-05-01,2023,5,total,18.507912732240264
2023-06-01,2023,6,total,19.537210152464546
2023-07-01,2023,7,total,20.720214246775246
2023-08-01,2023,8,total,20.609515465738312
2023-09-01,2023,9,total,18.838948838691746
2023-10-01,2023,10,total,14.758181383288434
2023-11-01,2023,11,total,17.63155114163825
2023-12-01,2023,12,total,15.95692923748689
2024-01-01,2024,1,total,14.692428905308288
2024-02-01,2024,2,total,13.765670165360664
2024-03-01,2024,3,total,17.381353085405948
2024-04-01,2024,4,total,17.88530093608117
2024-05-01,2024,5,total,19.064743312121173
2024-06-01,2024,6,total,19.95937259754751
2024-07-01,2024,7,total,20.94393141471586
2024-08-01,2024,8,total,20.81426567356045
2024-09-01,2024,9,total,18.759766360896112
2024-10-01,2024,10,total,15.196168364259904
2024-11-01,2024,11,total,17.77135896296928
2024-12-01,2024,12,total,16.64216376631244
2025-01-01,2025,1,total,15.122391475325033
2025-02-01,2025,2,total,14.085236456913123
2025-03-01,2025,3,total,17.60576134611316
2025-04-01,2025,4,total,17.702888687409594
2025-05-01,2025,5,total,19.246290704265643
2025-06-01,2025,6,total,20.297198854901275
2025-07-01,2025,7,total,21.749646587335565
2025-08-01,2025,8,total,20.506273476244033
2025-09-01,2025,9,total,19.556971621458572
2025-10-01,2025,10,total,15.185764538622497
2025-11-01,2025,11,total,17.692389551090297
2025-12-01,2025,12,total,16.977760489323032
2005-01-01,2005,1,building,3.632949503700212
2005-02-01,2005,2,building,3.4211627206836495
2005-03-01,2005,3,building,4.333872201935647
2005-04-01,2005,4,building,4.351963882664189
2005-05-01,2005,5,building,4.654879285422434
2005-06-01,2005,6,building,4.8633774002524754
2005-07-01,2005,7,building,5.1168282717739855
2005-08-01,2005,8,building,5.046115531152969
2005-09-01,2005,9,building,4.670903694888152
2005-10-01,2005,10,building,3.722936466542045
2005-11-01,2005,11,building,4.268202783025161
2005-12-01,2005,12,building,3.9433762152140046
2006-01-01,2006,1,building,3.745995406330759
2006-02-01,2006,2,building,3.467266259848889
2006-03-01,2006,3,building,4.358176780277718
2006-04-01,2006,4,building,4.392767158048969
2006-05-01,2006,5,building,4.766426384781387
2006-06-01,2006,6,building,4.976825458309574
2006-07-01,2006,7,building,5.347825646631916
2006-08-01,2006,8,building,5.14455155883214
2006-09-01,2006,9,building,4.78648127770243
2006-10-01,2006,10,building,3.7433350745781304
2006-11-01,2006,11,building,4.4391577367680854
2006-12-01,2006,12,building,4.113000267236896
2007-01-01,2007,1,building,3.7936769215568544
2007-02-01,2007,2,building,3.559228194156436
2007-03-01,2007,3,building,4.452553266261238
2007-04-01,2007,4,building,4.550268011739441
2007-05-01,2007,5,building,4.8028691184713725
2007-06-01,2007,6,building,5.1462444836355825
2007-07-01,2007,7,building,5.421009876944623
2007-08-01,2007,8,building,5.268965127872571
2007-09-01,2007,9,building,4.947008157367072
2007-10-01,2007,10,building,3.8700346057301496
2007-11-01,2007,11,building,4.504179737762682
2007-12-01,2007,12,building,4.245621982341499
2008-01-01,2008,1,building,3.8803995700621243
2008-02-01,2008,2,building,3.5817290646637603
2008-03-01,2008,3,building,4.530212214806553
2008-04-01,2008,4,building,4.560461896752771
2008-05-01,2008,5,building,5.055370665805654
2008-06-01,2008,6,building,5.178647662007236
2008-07-01,2008,7,building,5.510115755973534
2008-08-01,2008,8,building,5.418678370452407
2008-09-01,2008,9,building,4.990992821805152
2008-10-01,2008,10,building,4.076936008549938
2008-11-01,2008,11,building,4.685905248631528
2008-12-01,2008,12,building,4.393078014253393
2009-01-01,2009,1,building,4.009601644431972
2009-02-01,2009,2,building,3.6335241441641437
2009-03-01,2009,3,building,4.675596571805185
2009-04-01,2009,4,building,4.739825701836392
2009-05-01,2009,5,building,5.162327463793859
2009-06-01,2009,6,building,5.355111246556776
2009-07-01,2009,7,building,5.685396434751329
2009-08-01,2009,8,building,5.514665035461447
2009-09-01,2009,9,building,5.10862756297711
2009-10-01,2009,10,building,4.012111437698411
2009-11-01,2009,11,building,4.7612497243804395
2009-12-01,2009,12,building,4.521820450103494
2010-01-01,2010,1,building,4.099953148106517
2010-02-01,2010,2,building,3.790236452556423
2010-03-01,2010,3,building,4.793337041874101
2010-04-01,2010,4,building,4.745588951872754
2010-05-01,2010,5,building,5.218525590213418
2010-06-01,2010,6,building,5.5207577573411415
2010-07-01,2010,7,building,5.808605462278582
2010-08-01,2010,8,building,5.71470128304298
2010-09-01,2010,9,building,5.180601723237914
2010-10-01,2010,10,building,4.188907363095501
2010-11-01,2010,11,building,4.886459339327643
2010-12-01,2010,12,building,4.56055827350898
2011-01-01,2011,1,building,4.144141118882849
2011-02-01,2011,2,building,3.878669945014752
2011-03-01,2011,3,building,4.927996581528151
2011-04-01,2011,4,building,5.0219358441765
2011-05-01,2011,5,building,5.2488070944691625
2011-06-01,2011,6,building,5.587339429341521
2011-07-01,2011,7,building,6.031229541309197
2011-08-01,2011,8,building,5.768156361359894
2011-09-01,2011,9,building,5.321128830114651
2011-10-01,2011,10,building,4.2947549873288065
2011-11-01,2011,11,building,4.942371222344458
2011-12-01,2011,12,building,4.674983289111935
2012-01-01,2012,1,building,4.39725302647516
2012-02-01,2012,2,building,3.9254748644241024
2012-03-01,2012,3,building,5.021378834141373
2012-04-01,2012,4,building,5.06877169189055
2012-05-01,2012,5,building,5.413530890695061
2012-06-01,2012,6,building,5.621887238457998
2012-07-01,2012,7,building,6.1542954327717965
2012-08-01,2012,8,building,5.912573817591262
2012-09-01,2012,9,building,5.525210162962369
2012-10-01,2012,10,building,4.3279535315461
2012-11-01,2012,11,building,5.19118490841045
2012-12-01,2012,12,building,4.613509699845525
2013-01-01,2013,1,building,4.373863482953559
2013-02-01,2013,2,building,4.005797852599204
2013-03-01,2013,3,building,5.115542247964433
2013-04-01,2013,4,building,5.192346537969475
2013-05-01,2013,5,building,5.476213003235154
2013-06-01,2013,6,building,5.874935310032601
2013-07-01,2013,7,building,6.254078208632458
2013-08-01,2013,8,building,6.006811863028376
2013-09-01,2013,9,building,5.6742159409918775
2013-10-01,2013,10,building,4.436146274537018
2013-11-01,2013,11,building,5.205224764223915
2013-12-01,2013,12,building,4.880577818228722
2014-01-01,2014,1,building,4.399826946399381
2014-02-01,2014,2,building,4.1800807990111055
2014-03-01,2014,3,building,5.220261836956513
2014-04-01,2014,4,building,5.260184034821837
2014-05-01,2014,5,building,5.624074290764487
2014-06-01,2014,6,building,5.950261864720937
2014-07-01,2014,7,building,6.349408616274829
2014-08-01,2014,8,building,6.207208053472984
2014-09-01,2014,9,building,5.714920860301431
2014-10-01,2014,10,building,4.641805606484741
2014-11-01,2014,11,building,5.313624487669458
2014-12-01,2014,12,building,4.940941115443167
2015-01-01,2015,1,building,4.55915049479888
2015-02-01,2015,2,building,4.214131943696847
2015-03-01,2015,3,building,5.308173740422561
2015-04-01,2015,4,building,5.3237172839265146
2015-05-01,2015,5,building,5.866596730628098
2015-06-01,2015,6,building,6.012073357642677
2015-07-01,2015,7,building,6.5863878207074915
2015-08-01,2015,8,building,6.222048151557999
2015-09-01,2015,9,building,5.787082383425141
2015-10-01,2015,10,building,4.727561376507211
2015-11-01,2015,11,building,5.3205938627513865
2015-12-01,2015,12,building,5.159094085188333
2016-01-01,2016,1,building,4.574084933207819
2016-02-01,2016,2,building,4.389936799697889
2016-03-01,2016,3,building,5.444108077723157
2016-04-01,2016,4,building,5.552814147687576
2016-05-01,2016,5,building,5.889133430847768
2016-06-01,2016,6,building,6.105504724933348
2016-07-01,2016,7,building,6.549438048917284
2016-08-01,2016,8,building,6.394253189873668
2016-09-01,2016,9,building,6.108648177359196
2016-10-01,2016,10,building,4.781276217224118
2016-11-01,2016,11,building,5.476613684590554
2016-12-01,2016,12,building,5.075439969658852
2017-01-01,2017,1,building,4.739072006825549
2017-02-01,2017,2,building,4.4082916976523165
2017-03-01,2017,3,building,5.431095928725434
2017-04-01,2017,4,building,5.644581461198619
2017-05-01,2017,5,building,5.9433752224305305
2017-06-01,2017,6,building,6.293357595245384
2017-07-01,2017,7,building,6.718978248550504
2017-08-01,2017,8,building,6.616607644853646
2017-09-01,2017,9,building,6.123742063671139
2017-10-01,2017,10,building,4.766877838117839
2017-11-01,2017,11,building,5.605368470577507
2017-12-01,2017,12,building,5.26928565115275
2018-01-01,2018,1,building,4.777362374496882
2018-02-01,2018,2,building,4.315936286553213
2018-03-01,2018,3,building,5.737930157552669
2018-04-01,2018,4,building,5.722955948441417
2018-05-01,2018,5,building,6.0850035808299605
2018-06-01,2018,6,building,6.43316333053607
2018-07-01,2018,7,building,6.7234183971093895
2018-08-01,2018,8,building,6.697675231507236
2018-09-01,2018,9,building,6.190244138287415
2018-10-01,2018,10,building,4.92182419417101
2018-11-01,2018,11,building,5.652560243395927
2018-12-01,2018,12,building,5.481682321595862
2019-01-01,2019,1,building,4.879046145846381
2019-02-01,2019,2,building,4.503252127122007
2019-03-01,2019,3,building,5.77038009076794
2019-04-01,2019,4,building,5.76980955793467
2019-05-01,2019,5,building,6.2832225802741
2019-06-01,2019,6,building,6.637314141785694
2019-07-01,2019,7,building,6.88937887990912
2019-08-01,2019,8,building,6.643160640441755
2019-09-01,2019,9,building,6.35676701429658
2019-10-01,2019,10,building,4.89939962846379
2019-11-01,2019,11,building,5.80245459328326
2019-12-01,2019,12,building,5.440512523797831
2020-01-01,2020,1,building,4.996413613199523
2020-02-01,2020,2,building,4.66214607913724
2020-03-01,2020,3,building,5.813808598164998
2020-04-01,2020,4,building,5.812817965778781
2020-05-01,2020,5,building,6.357912058356774
2020-06-01,2020,6,building,6.5678108529173045
2020-07-01,2020,7,building,7.003482473016492
2020-08-01,2020,8,building,6.989586414969582
2020-09-01,2020,9,building,6.454238023946383
2020-10-01,2020,10,building,4.9586432160293334
2020-11-01,2020,11,building,5.8746793818031104
2020-12-01,2020,12,building,5.471241291095611
2021-01-01,2021,1,building,4.993697760140323
2021-02-01,2021,2,building,4.68995221582558
2021-03-01,2021,3,building,5.886964381474055
2021-04-01,2021,4,building,5.963368892176452
2021-05-01,2021,5,building,6.448948844576481
2021-06-01,2021,6,building,6.6883296286797345
2021-07-01,2021,7,building,7.210930744406309
2021-08-01,2021,8,building,6.860702608845191
2021-09-01,2021,9,building,6.537467425283336
2021-10-01,2021,10,building,5.193877735169283
2021-11-01,2021,11,building,5.870093943028545
2021-12-01,2021,12,building,5.658343534858761
2022-01-01,2022,1,building,5.110882208528807
2022-02-01,2022,2,building,4.723229607915304
2022-03-01,2022,3,building,5.999358350834475
2022-04-01,2022,4,building,6.102581671092611
2022-05-01,2022,5,building,6.636059372797082
2022-06-01,2022,6,building,6.84394763288809
2022-07-01,2022,7,building,7.084913460889888
2022-08-01,2022,8,building,7.0403566669234365
2022-09-01,2022,9,building,6.666550178796816
2022-10-01,2022,10,building,5.107402616886307
2022-11-01,2022,11,building,6.04348190804434
2022-12-01,2022,12,building,5.6357169356110735
2023-01-01,2023,1,building,5.122242994053683
2023-02-01,2023,2,building,4.839770117263187
2023-03-01,2023,3,building,6.240466631148484
2023-04-01,2023,4,building,6.124343038086886
2023-05-01,2023,5,building,6.517764176724976
2023-06-01,2023,6,building,6.880242536645426
2023-07-01,2023,7,building,7.29685038531902
2023-08-01,2023,8,building,7.2578665971475536
2023-09-01,2023,9,building,6.634342167287547
2023-10-01,2023,10,building,5.19725521322812
2023-11-01,2023,11,building,6.209143844236941
2023-12-01,2023,12,building,5.619407399379847
2024-01-01,2024,1,building,5.165430374815212
2024-02-01,2024,2,building,4.83960897548747
2024-03-01,2024,3,building,6.11077785445715
2024-04-01,2024,4,building,6.287951251175793
2024-05-01,2024,5,building,6.702608862507852
2024-06-01,2024,6,building,7.017134480764943
2024-07-01,2024,7,building,7.363276704951994
2024-08-01,2024,8,building,7.31769000432858
2024-09-01,2024,9,building,6.595387842918145
2024-10-01,2024,10,building,5.3425305070691484
2024-11-01,2024,11,building,6.247892569750701
2024-12-01,2024,12,building,5.850900404227999
2025-01-01,2025,1,building,5.306722550140835
2025-02-01,2025,2,building,4.942765967401997
2025-03-01,2025,3,building,6.1781822604092085
2025-04-01,2025,4,building,6.212266013176357
2025-05-01,2025,5,building,6.753873886517488
2025-06-01,2025,6,building,7.122656693800623
2025-07-01,2025,7,building,7.6323470524443975
2025-08-01,2025,8,building,7.196024785715986
2025-09-01,2025,9,building,6.862897477915469
2025-10-01,2025,10,building,5.328961312086714
2025-11-01,2025,11,building,6.208581675050769
2025-12-01,2025,12,building,5.957805323753803
2005-01-01,2005,1,transport,2.6272299643615136
2005-02-01,2005,2,transport,2.474072706923685
2005-03-01,2005,3,transport,3.1341142779556543
2005-04-01,2005,4,transport,3.147197588270669
2005-05-01,2005,5,transport,3.36625607559138
2005-06-01,2005,6,transport,3.5170350760251754
2005-07-01,2005,7,transport,3.7003224361926237
2005-08-01,2005,8,transport,3.6491853006963995
2005-09-01,2005,9,transport,3.377844403110564
