date,year,month,sector,emission
2005-10-01,2005,10,transport,2.6923055854069355
2005-11-01,2005,11,transport,3.0866243073606556
2005-12-01,2005,12,transport,2.851720383894342
2006-01-01,2006,1,transport,2.7190310491944403
2006-02-01,2006,2,transport,2.516715477125436
2006-03-01,2006,3,transport,3.1633829458057416
2006-04-01,2006,4,transport,3.1884903741289174
2006-05-01,2006,5,transport,3.459710952132403
2006-06-01,2006,6,transport,3.6124291355765323
2006-07-01,2006,7,transport,3.881719650348819
2006-08-01,2006,8,transport,3.7341731383349
2006-09-01,2006,9,transport,3.4742677976769625
2006-10-01,2006,10,transport,2.7171000471904523
2006-11-01,2006,11,transport,3.2221629792031794
2006-12-01,2006,12,transport,2.9854215552592955
2007-01-01,2007,1,transport,2.7615415916571115
2007-02-01,2007,2,transport,2.590878689882746
2007-03-01,2007,3,transport,3.2411592468457
2007-04-01,2007,4,transport,3.3122890081131704
2007-05-01,2007,5,transport,3.4961656208987884
2007-06-01,2007,6,transport,3.746119787281062
2007-07-01,2007,7,transport,3.9461305096647576
2007-08-01,2007,8,transport,3.8354521606546808
2007-09-01,2007,9,transport,3.601089144731336
2007-10-01,2007,10,transport,2.8171248490212197
2007-11-01,2007,11,transport,3.2787398450963363
2007-12-01,2007,12,transport,3.090527192779047
2008-01-01,2008,1,transport,2.8298375229701054
2008-02-01,2008,2,transport,2.6120277361374558
2008-03-01,2008,3,transport,3.303722794782149
2008-04-01,2008,4,transport,3.3257828129539244
2008-05-01,2008,5,transport,3.6867021924729704
2008-06-01,2008,6,transport,3.776603725361939
2008-07-01,2008,7,transport,4.018331628130002
2008-08-01,2008,8,transport,3.951649591943243
2008-09-01,2008,9,transport,3.639753718401879
2008-10-01,2008,10,transport,2.9731645639672823
2008-11-01,2008,11,transport,3.417264192060449
2008-12-01,2008,12,transport,3.2037156951520394
2009-01-01,2009,1,transport,2.925962570173066
2009-02-01,2009,2,transport,2.6515241628574673
2009-03-01,2009,3,transport,3.4119650218443507
2009-04-01,2009,4,transport,3.458835520974125
2009-05-01,2009,5,transport,3.7671515211524547
2009-06-01,2009,6,transport,3.90783336002889
2009-07-01,2009,7,transport,4.148855332743274
2009-08-01,2009,8,transport,4.024265977446798
2009-09-01,2009,9,transport,3.7279646108941726
2009-10-01,2009,10,transport,2.927794064123761
2009-11-01,2009,11,transport,3.4744694650975956
2009-12-01,2009,12,transport,3.299748593334463
2010-01-01,2010,1,transport,2.9901022020071735
2010-02-01,2010,2,transport,2.7642253346604293
2010-03-01,2010,3,transport,3.495788153210852
2010-04-01,2010,4,transport,3.4609653969750642
2010-05-01,2010,5,transport,3.805878822233443
2010-06-01,2010,6,transport,4.026297211371222
2010-07-01,2010,7,transport,4.236224989880995
2010-08-01,2010,8,transport,4.167740526042738
2010-09-01,2010,9,transport,3.778220887116684
2010-10-01,2010,10,transport,3.05497664922841
2010-11-01,2010,11,transport,3.5637023894504534
2010-12-01,2010,12,transport,3.3260222357172546
2011-01-01,2011,1,transport,3.016740143412541
2011-02-01,2011,2,transport,2.823489594226941
2011-03-01,2011,3,transport,3.587350113719911
2011-04-01,2011,4,transport,3.655733485942101
2011-05-01,2011,5,transport,3.820885103252027
2011-06-01,2011,6,transport,4.067320747009237
2011-07-01,2011,7,transport,4.390451905341452
2011-08-01,2011,8,transport,4.198946983129201
2011-09-01,2011,9,transport,3.873531930882701
2011-10-01,2011,10,transport,3.126379967458412
2011-11-01,2011,11,transport,3.597814177262559
2011-12-01,2011,12,transport,3.4031683172624745
2012-01-01,2012,1,transport,3.191306760682241
2012-02-01,2012,2,transport,2.84891371915589
2012-03-01,2012,3,transport,3.644266119065595
2012-04-01,2012,4,transport,3.6786614896372627
2012-05-01,2012,5,transport,3.9288705077055672
2012-06-01,2012,6,transport,4.080085144944655
2012-07-01,2012,7,transport,4.4664804375799365
2012-08-01,2012,8,transport,4.291050954654086
2012-09-01,2012,9,transport,4.009921749121262
2012-10-01,2012,10,transport,3.141012646300506
2012-11-01,2012,11,transport,3.7675028920138653
2012-12-01,2012,12,transport,3.34825505990775
2013-01-01,2013,1,transport,3.161437373616625
2013-02-01,2013,2,transport,2.89539879141555
2013-03-01,2013,3,transport,3.697524285350741
2013-04-01,2013,4,transport,3.7530385815381617
2013-05-01,2013,5,transport,3.958217836881851
2013-06-01,2013,6,transport,4.246415126833131
2013-07-01,2013,7,transport,4.520460380930891
2013-08-01,2013,8,transport,4.341735766119074
2013-09-01,2013,9,transport,4.101334760843841
2013-10-01,2013,10,transport,3.2064555013685587
2013-11-01,2013,11,transport,3.762346989526969
2013-12-01,2013,12,transport,3.527691520214829
2014-01-01,2014,1,transport,3.1646399849188676
2014-02-01,2014,2,transport,3.006584349315765
2014-03-01,2014,3,transport,3.754749798625153
2014-04-01,2014,4,transport,3.7834644242660183
2014-05-01,2014,5,transport,4.045197821535398
2014-06-01,2014,6,transport,4.2798130124739915
2014-07-01,2014,7,transport,4.566905160689419
2014-08-01,2014,8,transport,4.46462532277694
2014-09-01,2014,9,transport,4.110540547499791
2014-10-01,2014,10,transport,3.3386866809667426
2014-11-01,2014,11,transport,3.8219022528338327
2014-12-01,2014,12,transport,3.553844277865773
2015-01-01,2015,1,transport,3.261303065569425
2015-02-01,2015,2,transport,3.0145004957329977
2015-03-01,2015,3,transport,3.7971028400936544
2015-04-01,2015,4,transport,3.8082216233268658
2015-05-01,2015,5,transport,4.196560285492614
2015-06-01,2015,6,transport,4.300624270700516
2015-07-01,2015,7,transport,4.7114493840919005
2015-08-01,2015,8,transport,4.4508258137005905
2015-09-01,2015,9,transport,4.139681183873663
2015-10-01,2015,10,transport,3.381772641078548
2015-11-01,2015,11,transport,3.8059873423867803
2015-12-01,2015,12,transport,3.69046149601342
2016-01-01,2016,1,transport,3.2531893850643003
2016-02-01,2016,2,transport,3.1222191993415396
2016-03-01,2016,3,transport,3.871968900492455
2016-04-01,2016,4,transport,3.949283038306747
2016-05-01,2016,5,transport,4.188480678478651
2016-06-01,2016,6,transport,4.342368681747141
2016-07-01,2016,7,transport,4.658103784691115
2016-08-01,2016,8,transport,4.547732914115842
2016-09-01,2016,9,transport,4.344604373959584
2016-10-01,2016,10,transport,3.4005483641130265
2016-11-01,2016,11,transport,3.8950876000269505
2016-12-01,2016,12,transport,3.609764067552148
2017-01-01,2017,1,transport,3.3513321391070083
2017-02-01,2017,2,transport,3.1174140472275456
2017-03-01,2017,3,transport,3.840711073876027
2017-04-01,2017,4,transport,3.9916817544610232
2017-05-01,2017,5,transport,4.202979901764746
2017-06-01,2017,6,transport,4.4504771274760335
2017-07-01,2017,7,transport,4.751463517308213
2017-08-01,2017,8,transport,4.679070041586608
2017-09-01,2017,9,transport,4.330530019384453
2017-10-01,2017,10,transport,3.370995604006935
2017-11-01,2017,11,transport,3.963951482469004
2017-12-01,2017,12,transport,3.7262836115192344
2018-01-01,2018,1,transport,3.360455811941959
2018-02-01,2018,2,transport,3.0358829917410968
2018-03-01,2018,3,transport,4.0361310771397285
2018-04-01,2018,4,transport,4.025598033151739
2018-05-01,2018,5,transport,4.280266817951224
2018-06-01,2018,6,transport,4.525166694215555
2018-07-01,2018,7,transport,4.729335699819747
2018-08-01,2018,8,transport,4.711227638575042
2018-09-01,2018,9,transport,4.354294328371587
2018-10-01,2018,10,transport,3.462072043551093
2018-11-01,2018,11,transport,3.976080823107403
2018-12-01,2018,12,transport,3.8558831783754464
2019-01-01,2019,1,transport,3.4161632839479714
2019-02-01,2019,2,transport,3.1530434669348937
2019-03-01,2019,3,transport,4.040248854233005
2019-04-01,2019,4,transport,4.039849384078585
2019-05-01,2019,5,transport,4.399325942403381
2019-06-01,2019,6,transport,4.647250343081882
2019-07-01,2019,7,transport,4.823738590541536
2019-08-01,2019,8,transport,4.651343887896064
2019-09-01,2019,9,transport,4.450819572046588
2019-10-01,2019,10,transport,3.4304141883132147
2019-11-01,2019,11,transport,4.062706468809373
2019-12-01,2019,12,transport,3.8092853754784803
2020-01-01,2020,1,transport,3.485709932666263
2020-02-01,2020,2,transport,3.2525107314290715
2020-03-01,2020,3,transport,4.055959323244883
2020-04-01,2020,4,transport,4.055268216099723
2020-05-01,2020,5,transport,4.435548961416181
2020-06-01,2020,6,transport,4.581983258032749
2020-07-01,2020,7,transport,4.885926248170443
2020-08-01,2020,8,transport,4.876231769028232
2020-09-01,2020,9,transport,4.50275003823303
2020-10-01,2020,10,transport,3.4593597025273755
2020-11-01,2020,11,transport,4.0984253622005085
2020-12-01,2020,12,transport,3.8169698485336716
2021-01-01,2021,1,transport,3.4755644479467454
2021-02-01,2021,2,transport,3.264160541312859
2021-03-01,2021,3,transport,4.0972692167907825
2021-04-01,2021,4,transport,4.150446003575843
2021-05-01,2021,5,transport,4.488404866979261
2021-06-01,2021,6,transport,4.655011534565707
2021-07-01,2021,7,transport,5.01873676294748
2021-08-01,2021,8,transport,4.774981430707931
2021-09-01,2021,9,transport,4.55001292715125
2021-10-01,2021,10,transport,3.6148877385861797
2021-11-01,2021,11,transport,4.085527557824053
2021-12-01,2021,12,transport,3.938151359699393
2022-01-01,2022,1,transport,3.553743888677163
2022-02-01,2022,2,transport,3.2841978486488603
2022-03-01,2022,3,transport,4.171526989936135
2022-04-01,2022,4,transport,4.24330114331501
2022-05-01,2022,5,transport,4.614243584331183
2022-06-01,2022,6,transport,4.758794290781296
2022-07-01,2022,7,transport,4.9263447847473705
2022-08-01,2022,8,transport,4.895363160089089
2022-09-01,2022,9,transport,4.635444721641994
2022-10-01,2022,10,transport,3.5513244281945893
2022-11-01,2022,11,transport,4.202207372575278
2022-12-01,2022,12,transport,3.918676620020826
2023-01-01,2023,1,transport,3.5636464238547694
2023-02-01,2023,2,transport,3.367124420041401
2023-03-01,2023,3,transport,4.341616869620193
2023-04-01,2023,4,transport,4.260827374155115
2023-05-01,2023,5,transport,4.5345382924782145
2023-06-01,2023,6,transport,4.786721703642975
2023-07-01,2023,7,transport,5.076564077735532
2023-08-01,2023,8,transport,5.049442280220881
2023-09-01,2023,9,transport,4.615643921330801
2023-10-01,2023,10,transport,3.615833918067113
2023-11-01,2023,11,transport,4.319824983196205
2023-12-01,2023,12,transport,3.9095335981190957
2024-01-01,2024,1,transport,3.601162185112636
2024-02-01,2024,2,transport,3.3740105990453224
2024-03-01,2024,3,transport,4.260226260794784
2024-04-01,2024,4,transport,4.383745520599725
2024-05-01,2024,5,transport,4.672830688987378
2024-06-01,2024,6,transport,4.892107241090187
2024-07-01,2024,7,transport,5.133425814367401
2024-08-01,2024,8,transport,5.101644318825519
2024-09-01,2024,9,transport,4.598079844783134
2024-10-01,2024,10,transport,3.724630367427287
2024-11-01,2024,11,transport,4.355817971825307
2024-12-01,2024,12,transport,4.079048550784089
2025-01-01,2025,1,transport,3.712631569971396
2025-02-01,2025,2,transport,3.458004220150883
2025-03-01,2025,3,transport,4.322312743564054
2025-04-01,2025,4,transport,4.346158048335652
2025-05-01,2025,5,transport,4.725071863805049
2025-06-01,2025,6,transport,4.983075684401569
2025-07-01,2025,7,transport,5.339659715040348
2025-08-01,2025,8,transport,5.034404671681357
2025-09-01,2025,9,transport,4.801345764215588
2025-10-01,2025,10,transport,3.7281900109671775
2025-11-01,2025,11,transport,4.3435804517286565
2025-12-01,2025,12,transport,4.1681350256619325
2005-01-01,2005,1,industry,4.189724188631907
2005-02-01,2005,2,industry,3.945479613601819
2005-03-01,2005,3,industry,4.998068147216276
2005-04-01,2005,4,industry,5.01893250337762
2005-05-01,2005,5,industry,5.368271790574639
2005-06-01,2005,6,industry,5.60872368623073
2005-07-01,2005,7,industry,5.901017660028594
2005-08-01,2005,8,industry,5.819467701923596
2005-09-01,2005,9,industry,5.386752051827563
2005-10-01,2005,10,industry,4.2935022770683
2005-11-01,2005,11,industry,4.9223344348202085
2005-12-01,2005,12,industry,4.547725944698738
2006-01-01,2006,1,industry,4.29399516432904
2006-02-01,2006,2,industry,3.9744908731256907
2006-03-01,2006,3,industry,4.9957322393339965
2006-04-01,2006,4,industry,5.035382825832593
2006-05-01,2006,5,industry,5.463704470323756
2006-06-01,2006,6,industry,5.704882717040905
2006-07-01,2006,7,industry,6.1301563337487615
2006-08-01,2006,8,industry,5.897145383289374
2006-09-01,2006,9,industry,5.486693183304706
2006-10-01,2006,10,industry,4.290945654000758
2006-11-01,2006,11,industry,5.088559858659077
2006-12-01,2006,12,industry,4.714688979210097
2007-01-01,2007,1,industry,4.3208909196090195
2007-02-01,2007,2,industry,4.053860437497582
2007-03-01,2007,3,industry,5.071332476400846
2007-04-01,2007,4,industry,5.18262681305074
2007-05-01,2007,5,industry,5.4703323427860635
2007-06-01,2007,6,industry,5.861427190353259
2007-07-01,2007,7,industry,6.174377216810604
2007-08-01,2007,8,industry,6.0012025397824775
2007-09-01,2007,9,industry,5.634502639098489
2007-10-01,2007,10,industry,4.4078601663342685
2007-11-01,2007,11,industry,5.130133570045505
2007-12-01,2007,12,industry,4.83564358560703
2008-01-01,2008,1,industry,4.3901820586744424
2008-02-01,2008,2,industry,4.0522741008519105
2008-03-01,2008,3,industry,5.125363001499645
2008-04-01,2008,4,industry,5.159586696395778
2008-05-01,2008,5,industry,5.719513466654089
2008-06-01,2008,6,industry,5.858985819230089
2008-07-01,2008,7,industry,6.234000106516632
2008-08-01,2008,8,industry,6.1305502524077875
2008-09-01,2008,9,industry,5.6466780664319876
2008-10-01,2008,10,industry,4.612538218277656
2008-11-01,2008,11,industry,5.301510006831896
2008-12-01,2008,12,industry,4.970212972223277
2009-01-01,2009,1,industry,4.505090297541206
2009-02-01,2009,2,industry,4.082538820405587
2009-03-01,2009,3,industry,5.2533859018407645
2009-04-01,2009,4,industry,5.325552180734063
2009-05-01,2009,5,industry,5.800264822358166
2009-06-01,2009,6,industry,6.016871963482666
2009-07-01,2009,7,industry,6.387972319255702
2009-08-01,2009,8,industry,6.196142696606132
2009-09-01,2009,9,industry,5.739928927772624
2009-10-01,2009,10,industry,4.507910239843747
2009-11-01,2009,11,industry,5.349623688244422
2009-12-01,2009,12,industry,5.080606814213981
2010-01-01,2010,1,industry,4.574170298965594
2010-02-01,2010,2,industry,4.228630518704133
2010-03-01,2010,3,industry,5.3477537761615626
2010-04-01,2010,4,industry,5.294482949099217
2010-05-01,2010,5,industry,5.8221213503793825
2010-06-01,2010,6,industry,6.159310911412805
2010-07-01,2010,7,industry,6.480452245224955
2010-08-01,2010,8,industry,6.375686729110069
2010-09-01,2010,9,industry,5.779811055682139
2010-10-01,2010,10,industry,4.673413317964073
2010-11-01,2010,11,industry,5.451646974887541
2010-12-01,2010,12,industry,5.088050874683952
2011-01-01,2011,1,industry,4.590584529924652
2011-02-01,2011,2,industry,4.296514461135986
2011-03-01,2011,3,industry,5.458883812524006
2011-04-01,2011,4,industry,5.562943040599301
2011-05-01,2011,5,industry,5.814254861794935
2011-06-01,2011,6,industry,6.189256883869716
2011-07-01,2011,7,industry,6.680966751494749
2011-08-01,2011,8,industry,6.389553009667611
2011-09-01,2011,9,industry,5.894367732304754
2011-10-01,2011,10,industry,4.757423851908578
2011-11-01,2011,11,industry,5.474807016358423
2011-12-01,2011,12,industry,5.178613697990771
2012-01-01,2012,1,industry,4.8363558629028836
2012-02-01,2012,2,industry,4.317466668606466
2012-03-01,2012,3,industry,5.522805901352255
2012-04-01,2012,4,industry,5.57493133603953
2012-05-01,2012,5,industry,5.95411765131156
2012-06-01,2012,6,industry,6.183280139348796
2012-07-01,2012,7,industry,6.768853786469832
2012-08-01,2012,8,industry,6.502994227392824
2012-09-01,2012,9,industry,6.076949041714328
2012-10-01,2012,10,industry,4.760136228376865
2012-11-01,2012,11,industry,5.709568545644771
2012-12-01,2012,12,industry,5.074207590754221
2013-01-01,2013,1,industry,4.776858241397268
2013-02-01,2013,2,industry,4.374880139751989
2013-03-01,2013,3,industry,5.586873079519082
2013-04-01,2013,4,industry,5.670753888125733
2013-05-01,2013,5,industry,5.9807749643082495
2013-06-01,2013,6,industry,6.416234357285957
2013-07-01,2013,7,industry,6.830310353691079
2013-08-01,2013,8,industry,6.560261623221457
2013-09-01,2013,9,industry,6.197021303209842
2013-10-01,2013,10,industry,4.844879583954528
2013-11-01,2013,11,industry,5.68481867580323
2013-12-01,2013,12,industry,5.33025972681784
2014-01-01,2014,1,industry,4.772232817375565
2014-02-01,2014,2,industry,4.533887130412497
2014-03-01,2014,3,industry,5.662110159583485
2014-04-01,2014,4,industry,5.705411413272696
2014-05-01,2014,5,industry,6.100101714161425
2014-06-01,2014,6,industry,6.453898139343323
2014-07-01,2014,7,industry,6.88682908183713
2014-08-01,2014,8,industry,6.732592517372342
2014-09-01,2014,9,industry,6.198637630635363
2014-10-01,2014,10,industry,5.034692799741222
2014-11-01,2014,11,industry,5.763375120927955
2014-12-01,2014,12,industry,5.359147445363586
2015-01-01,2015,1,industry,4.912195702589663
2015-02-01,2015,2,industry,4.540460080795524
2015-03-01,2015,3,industry,5.719220777214824
2015-04-01,2015,4,industry,5.735967960202147
2015-05-01,2015,5,industry,6.320886156728891
2015-06-01,2015,6,industry,6.477628002137041
2015-07-01,2015,7,industry,7.096415436467287
2015-08-01,2015,8,industry,6.7038625345350535
2015-09-01,2015,9,industry,6.235214487177694
2015-10-01,2015,10,industry,5.093647753874383
2015-11-01,2015,11,industry,5.732602671846049
2015-12-01,2015,12,industry,5.558596897257244
2016-01-01,2016,1,industry,4.896912430867669
2016-02-01,2016,2,industry,4.699767581728751
2016-03-01,2016,3,industry,5.828339637343236
2016-04-01,2016,4,industry,5.9447179103951555
2016-05-01,2016,5,industry,6.304773769107132
2016-06-01,2016,6,industry,6.53641600906605
2016-07-01,2016,7,industry,7.011681038998228
2016-08-01,2016,8,industry,6.84554361994506
2016-09-01,2016,9,industry,6.539781318518051
2016-10-01,2016,10,industry,5.1187267585599425
2016-11-01,2016,11,industry,5.863139408809269
2016-12-01,2016,12,industry,5.433651854408153
2017-01-01,2017,1,industry,5.042862102335001
2017-02-01,2017,2,industry,4.690877687891442
2017-03-01,2017,3,industry,5.779247032682532
2017-04-01,2017,4,industry,6.006417689628717
2017-05-01,2017,5,industry,6.324365113250973
2017-06-01,2017,6,industry,6.696782506743064
2017-07-01,2017,7,industry,7.149686843168451
2017-08-01,2017,8,industry,7.040753947227534
2017-09-01,2017,9,industry,6.516294061977668
2017-10-01,2017,10,industry,5.072450378825811
2017-11-01,2017,11,industry,5.964691017394656
2017-12-01,2017,12,industry,5.607064184360255
2018-01-01,2018,1,industry,5.054632880869542
2018-02-01,2018,2,industry,4.566426357399216
2018-03-01,2018,3,industry,6.070950488773229
2018-04-01,2018,4,industry,6.055107200404985
2018-05-01,2018,5,industry,6.43816750097614
2018-06-01,2018,6,industry,6.806533888264301
2018-07-01,2018,7,industry,7.113634896798322
2018-08-01,2018,8,industry,7.086397638849261
2018-09-01,2018,9,industry,6.54951605283924
2018-10-01,2018,10,industry,5.2074790345658055
2018-11-01,2018,11,industry,5.980625840712777
2018-12-01,2018,12,industry,5.799830436379182
2019-01-01,2019,1,industry,5.134667019146175
2019-02-01,2019,2,industry,4.7391845628920715
2019-03-01,2019,3,industry,6.072699346208793
2019-04-01,2019,4,industry,6.072098922266333
2019-05-01,2019,5,industry,6.612410457391017
2019-06-01,2019,6,industry,6.985053430690084
2019-07-01,2019,7,industry,7.250324235442342
2019-08-01,2019,8,industry,6.991206236572503
2019-09-01,2019,9,industry,6.689807999559886
2019-10-01,2019,10,industry,5.156086852612875
2019-11-01,2019,11,industry,6.106454282173303
2019-12-01,2019,12,industry,5.7255495004854975
2020-01-01,2020,1,industry,5.232022879622872
2020-02-01,2020,2,industry,4.881992733698053
2020-03-01,2020,3,industry,6.08796267846786
2020-04-01,2020,4,industry,6.0869253321408285
2020-05-01,2020,5,industry,6.657723705674409
2020-06-01,2020,6,industry,6.877520419990603
2020-07-01,2020,7,industry,7.333736430278357
2020-08-01,2020,8,industry,7.319185094206834
2020-09-01,2020,9,industry,6.75859198738255
2020-10-01,2020,10,industry,5.192471393804161
2020-11-01,2020,11,industry,6.151703865116985
2020-12-01,2020,12,industry,5.729241378120971
2021-01-01,2021,1,industry,5.2049725763650905
2021-02-01,2021,2,industry,4.888376077279632
2021-03-01,2021,3,industry,6.136031781536876
2021-04-01,2021,4,industry,6.21566883648459
2021-05-01,2021,5,industry,6.721792846641704
2021-06-01,2021,6,industry,6.971301422533409
2021-07-01,2021,7,industry,7.516012898155069
2021-08-01,2021,8,industry,7.150967208842893
2021-09-01,2021,9,industry,6.814056497188507
2021-10-01,2021,10,industry,5.413621823958704
2021-11-01,2021,11,industry,6.11844758367832
2021-12-01,2021,12,industry,5.897738377695684
2022-01-01,2022,1,industry,5.304137441622398
2022-02-01,2022,2,industry,4.901826727079781
2022-03-01,2022,3,industry,6.226209087986612
2022-04-01,2022,4,industry,6.333335540033598
2022-05-01,2022,5,industry,6.886985367290305
2022-06-01,2022,6,industry,7.102734402199068
2022-07-01,2022,7,industry,7.352811750552552
2022-08-01,2022,8,industry,7.306570152817874
2022-09-01,2022,9,industry,6.918629106889421
2022-10-01,2022,10,industry,5.3005262779212
2022-11-01,2022,11,industry,6.27200106719988
2022-12-01,2022,12,industry,5.848817481779703
2023-01-01,2023,1,industry,5.294444022132051
2023-02-01,2023,2,industry,5.002474891484789
2023-03-01,2023,3,industry,6.45026042086522
2023-04-01,2023,4,industry,6.3302329516828335
2023-05-01,2023,5,industry,6.736880234535457
2023-06-01,2023,6,industry,7.111544495497096
2023-07-01,2023,7,industry,7.542157985826191
2023-08-01,2023,8,industry,7.501863629528747
2023-09-01,2023,9,industry,6.857377377283797
2023-10-01,2023,10,industry,5.371978023516991
2023-11-01,2023,11,industry,6.417884615556324
2023-12-01,2023,12,industry,5.808322242445229
2024-01-01,2024,1,industry,5.318659263721601
2024-02-01,2024,2,industry,4.983172599860562
2024-03-01,2024,3,industry,6.292049816916955
2024-04-01,2024,4,industry,6.4744789388613855
2024-05-01,2024,5,industry,6.901437078987866
2024-06-01,2024,6,industry,7.2252928803122005
2024-07-01,2024,7,industry,7.581703172127143
2024-08-01,2024,8,industry,7.534764173828885
2024-09-01,2024,9,industry,6.791035422644395
2024-10-01,2024,10,industry,5.501012947862087
2024-11-01,2024,11,industry,6.433231944594881
2024-12-01,2024,12,industry,6.024463283405105
2025-01-01,2025,1,industry,5.444060931117012
2025-02-01,2025,2,industry,5.070685124488724
2025-03-01,2025,3,industry,6.338074084600738
2025-04-01,2025,4,industry,6.373039927467454
2025-05-01,2025,5,industry,6.928664653535632
2025-06-01,2025,6,industry,7.306991587764459
2025-07-01,2025,7,industry,7.8298727714408045
2025-08-01,2025,8,industry,7.382258451447852
2025-09-01,2025,9,industry,7.040509783725086
2025-10-01,2025,10,industry,5.466875233904099
2025-11-01,2025,11,industry,6.369260238392508
2025-12-01,2025,12,industry,6.111993776156291
